,Endothelial cell,Smooth muscle cell
ABCD1,0.7587859424920128,1.1268629589240275
ABCD2,0.01863684771033014,0.21810250817884405
ABCD3,3.005857294994675,5.961468556888404
ABCD4,5.897231096911608,7.233733187931661
ABCE1,6.238019169329074,11.159578335150854
ABCF1,8.045793397231098,14.758269720101781
ABCF2,3.4824281150159746,7.488186114140313
ABCF3,3.1895633652822153,5.343511450381679
ABCG1,9.124068157614483,2.6899309342057434
ABCG2,2.9792332268370605,1.5994183933115231
ABCG4,0.0,0.0
ABCG5,0.0,0.0
ABCG8,0.0,0.0
ABHD1,0.07987220447284345,0.07270083605961468
ABHD10,1.520234291799787,4.071246819338422
ABHD11,1.9755058572949946,4.943656852053799
ABHD11-AS1,0.12513312034078808,0.21810250817884405
ABHD12,4.267838125665602,8.869501999272991
ABHD12B,0.03727369542066028,0.0
ABHD13,4.26517571884984,6.906579425663395
ABHD14A,2.902023429179979,10.432569974554708
ABHD14A-ACY1,0.0,0.0
ABHD14B,6.142172523961661,14.649218466012359
ABHD15,0.4952076677316294,1.1995637949836424
ABHD15-AS1,0.0,0.0
ABHD16A,4.326411075612354,6.470374409305707
ABHD16B,0.0026624068157614484,0.0
ABHD17A,9.627263045793397,8.36059614685569
ABHD17B,2.7396166134185305,3.9621955652490004
ABHD17C,2.340255591054313,0.3271537622682661
ABHD18,1.15814696485623,1.4540167211922936
ABHD2,3.8391906283280086,11.123227917121048
ABHD3,2.691693290734824,5.8160668847691745
ABHD4,0.9265175718849841,2.7262813522355507
ABHD5,4.510117145899893,5.161759360232643
ABHD6,2.933972310969116,1.708469647400945
ABHD8,1.3285410010649628,3.816793893129771
ABI1,6.919595314164004,11.34133042529989
ABI2,4.68849840255591,13.26790258087968
ABI3,9.014909478168263,1.9992729916394039
ABI3BP,4.435569755058573,14.940021810250817
ABITRAM,0.5431309904153354,1.272264631043257
ABL1,2.055378061767838,5.779716466739368
ABL2,19.307774227902023,7.306434023991276
ABLIM1,30.977103301384453,3.3078880407124682
ABLIM2,0.37273695420660274,4.180298073427845
ABLIM3,2.5958466453674123,1.9265721555797892
ABO,0.410010649627263,0.3998545983278808
ABR,4.845580404685836,14.067611777535442
ABRA,0.005324813631522897,0.6543075245365322
ABRACL,8.1975505857295,5.852417302798982
ABRAXAS1,0.6975505857294995,2.2900763358778624
ABRAXAS2,1.887646432374867,2.87168302435478
ABT1,8.101703940362087,12.395492548164304
ABTB1,3.0670926517571884,15.994183933115231
ABTB2,0.058572949946751864,0.945110868774991
ABTB3,0.013312034078807242,0.10905125408942203
AC000032.2,0.007987220447284345,0.0
AC000035.3,0.0,0.0
AC000036.4,0.0,0.0
AC000067.1,0.005324813631522897,0.07270083605961468
AC000068.10,0.0,0.0
AC000068.5,0.01863684771033014,0.03635041802980734
AC000068.9,0.007987220447284345,0.0
AC000111.6,0.0,0.0
AC000124.1,0.0,0.0
AC000403.4,0.042598509052183174,0.07270083605961468
AC001226.7,0.005324813631522897,0.10905125408942203
AC002064.5,0.0,0.0
AC002066.1,0.013312034078807242,0.2908033442384587
